89,14419,Rodney,McLeod,FS,26,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/14419-rodney-mcleod.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/14419-rodney-mcleod.svg,14
92,14587,Josh,Gordon,WR,12,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/14587-josh-gordon.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/14587-josh-gordon.svg,16
95,11694,Nick,Folk,K,6,,t,f,https://playible-api-dev.s3.amazonaws.com/media/athlete/nfl/images/11694-nick-folk.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/11694-nick-folk.svg,22
100,14855,Matt,Barkley,QB,11,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/14855-matt-barkley.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/14855-matt-barkley.svg,4
102,14860,Jordan,Poyer,SS,21,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/14860-jordan-poyer.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/14860-jordan-poyer.svg,4
105,15127,Darius,Slay,CB,2,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/15127-darius-slay.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/15127-darius-slay.svg,26
107,14959,Chris,Hubbard,OT,74,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/14959-chris-hubbard.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/14959-chris-hubbard.svg,8
108,14900,Ryan,Jensen,C,66,,t,t,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/14900-ryan-jensen.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/14900-ryan-jensen.svg,30
110,15131,David,Bakhtiari,OT,69,,f,t,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/15131-david-bakhtiari.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/15131-david-bakhtiari.svg,12
111,14901,Kyle,Juszczyk,FB,44,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/14901-kyle-juszczyk.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/14901-kyle-juszczyk.svg,29
114,14887,Duron,Harmon,SS,30,,t,f,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/images/14887-duron-harmon.svg,https://playible-api-dev.s3.ap-southeast-1.amazonaws.com/media/athlete/nfl/animations/14887-duron-harmon.svg,19
